Ticker,Year,NET_INCOME,SALES_REV_TURN,CF_FREE_CASH_FLOW,TOT_STK_AWARDS_GIVEN_TO_EXECS,TOT_TOP_3_HIGHEST_STK_AW_AMT,2ND_HIGHEST_STK_AWARDS_AMT,2ND_HIGHEST_ALL_OTH_COMP_AMT_AW,3RD_HIGHEST_ALL_OTH_COMP_AMT_AW,2ND_HIGHEST_TOT_COMP_AMT_AW,SUSTAINALYTICS_SOCIAL_PERCENTILE,SUSTAINALYTICS_ENVIRONMENT_PCT,GICS Sector,State,
ANSS,2017,65.8468,273.1756,102.0608,17581030.5,13074140,4080599,4715057,2051094,5641401,27.78636649,32.55698542,Information Technology, Pennsylvania,
ANTM,2017,842.24,22350.76,711.54,18222747,14323519.5,2627251,4450945.5,4156095,5200409.5,28.20846698,65.17797938,Health Care, Indiana,
AON,2017,335.6,2529.6,270.6,24822421,21454131.5,7211718.5,9665575.5,7209961,10261409,52.50316335,41.88201208,Financials, United Kingdom,
AOS,2017,75.84,738.96,78.64,1790801,1466698.5,268889,2488150,1502584,3029150,0,0.641025641,Industrials, Wisconsin,
APA,2017,224.4,1461.2,-0.4,17962270.5,13978966.5,2948569,4742453,3749340.5,5442453,69.29060003,38.35762829,Energy, Texas,
AAPL,2017,13683.2,63505.4,15361.6,100000565,60000339,20000113,23143161,23126815,24162392,40.84550089,88.49986273,Information Technology, California,
AMAT,2017,858.5,3634.25,892.25,28718097,20497549,5421909,5833148,5357594,6471610,57.00904475,51.03764749,Information Technology, California,
APTV,2017,327.2,3685.4,291.2,16456663,12640389.5,2433362,3684826.5,2975793,4728785,81.25894316,55.79100026,Consumer Discretionary, Kent, United Kingdom
ADM,2017,403.8,15465.8,-147.6,16942136.5,13844522,3066284.5,4974897,3601453,5799945,31.07571947,44.92123882,Consumer Staples, Illinois,
AJG,2017,146.26,1555.66,154.5,2878720,2573842.5,771537,3402278.5,2786152,4202278.5,42.40520155,34.04027917,Financials, Illinois,
AIZ,2017,110.1832,1633.4584,124.7102,15296082.5,9997966.5,2538180.5,4604571,3545903.5,5270821,12.34338998,54.22712585,Financials, New York,
T,2017,6377.4,40477.4,4206.8,40468458.5,30273569.5,7541987.5,12978664.5,11988668.5,13979497.5,58.09609806,69.42653687,Telecommunication Services, Texas,
ADSK,2017,-141.7,495.4,-28.25,25198959,17044053,4392077,4810489,4772595,5384874,69.24130649,85.18187619,Information Technology, California,
ADP,2017,446.72,3155.42,432.28,10202800,8750100,2718100,3093100,2214500,4126500,44.29342154,64.03746752,Information Technology, New Jersey,
AZO,2017,320.93675,2752.4905,290.734,153974,136424,27507,1937633,1638559,2560020,62.3228873,58.41046366,Consumer Discretionary, Tennessee,
AVB,2017,223.8312,535.374,-61.8844,10530995,7838440.5,1633027,2296687.5,2252506,2851976,87.01567596,72.83212793,Real Estate, Virginia[5],
AVY,2017,68.76,1632.92,121.16,10798603.5,7884452.5,1998745,5188475,2298125.5,5939504.5,80.20424837,59.49346405,Materials, California,
BLL,2017,85.2,2701.2,267.6,9072379,7003863,1741151,3516108.5,3145298.5,4190508,98.19004525,72.84627954,Materials, Colorado,
BAC,2017,4618.6,24565.4,-2282.8,42751077,31868351,9191495,9208995,6196113,17073578.5,65.55746675,87.15304831,Financials, North Carolina,
BK,2017,992,4100.8,1562.4,44383642,30634477.5,10374393,12797882.5,8522180.5,13165591,66.98062355,80.22803035,Financials, New York,
BAX,2017,192,2641.2,343.2,11208329,8283031,3152493,6359556,4038541,6802422,89.73650499,95.36689078,Health Care, Illinois,
BBT,2017,606,3012.6,1401.4,7343775,4815597.5,1181685.5,5817594.5,4932388,6500886,20.97858798,1.106746642,Financials, North Carolina,
BDX,2017,193,3034.4,393,10762117,8776649,1642074,3846132,3491295,4624362,69.54527667,94.56641338,Health Care, New Jersey,
BBY,2017,310.75,10067.5,432.25,20190888,14977568,4392616,6235112,4481608,7160112,89.50080274,91.65717539,Consumer Discretionary, Minnesota,
BIIB,2017,637.66,3029.18,1039.06,29719397,19557761,4762609,7224989,4597775,7603396.5,95.46404069,96.89008179,Health Care, Massachusetts,
BLK,2017,1163.6,3129.8,972.2,39533147.5,32931483.5,12492141.5,13444215.5,8916940.5,20804191.5,69.68055663,47.50773126,Financials, New York,
HRB,2017,98.67625,764.61325,130.75725,10200187,7800096,1200020,2063984,1648629,2477061,35.42694939,8.514230405,Financials, Missouri,
BA,2017,1991.2,23532.6,2777.2,29911606.5,25080394,5487534,14838317,8809137.5,16145952,0.295857988,43.48403771,Industrials, Illinois,
BKNG,2017,602.9346,3005.903,1083.796,28296577,23796454,4749977.5,6108583.5,5908640.5,6438583.5,35.98077624,3.940166681,Consumer Discretionary, Connecticut,
BWA,2017,29.32,2411.66,183.42,14939018.5,12673659,2265271.5,3899275,2795977.5,4586525,66.11499103,67.20677084,Consumer Discretionary, Michigan,
BXP,2017,122.1384,647.6274,-26.0564,18661651,15340603,4691310,4724760,4029430.5,7340625.5,43.87358173,79.31392325,Real Estate, Massachusetts,
BSX,2017,45.6,2247.6,299,11780354,9664597.5,1663959,4022418,2549933.5,4576998.5,83.22397975,97.36643871,Health Care, Massachusetts[6],
BMY,2017,380.2,5203.8,1058.4,25851378,20493854,4219398.5,6912296,5612287.5,7894000.5,90.52304436,95.47303386,Health Care, New York,
CHRW,2017,125.4392,3656.871,95.8264,4155320.5,3298143,460836.5,1139272,1102738,1688597.5,12.9544182,6.108100628,Industrials, Minnesota,
CA,2017,126.8,1034.2,304.4,17337062,11936969,2682395,4178405,3740293,4878405,83.76373162,91.50583595,Information Technology, New York,
COG,2017,-38.4734,420.9234,29.6548,14414074,13418681,3912470,5001896.5,1595419,5507196.5,37.58513605,27.47542133,Energy, Texas,
